feature,coefficient,abs_coefficient
away_implied_prob,-0.4062938696640872,0.4062938696640872
market_spread,0.2745079196060373,0.2745079196060373
form_win_rate_diff_8,-0.17941637343364805,0.17941637343364805
form_points_against_diff_8,-0.14281096145365862,0.14281096145365862
home_implied_prob,0.14182895444120364,0.14182895444120364
form_points_for_diff_5,-0.09944266253261815,0.09944266253261815
temperature_category_unknown,0.09605508856311658,0.09605508856311658
is_windy,0.08541644169457933,0.08541644169457933
form_win_rate_diff_5,0.08119361101742968,0.08119361101742968
recent_wins_3_diff,-0.07792239621235603,0.07792239621235603
form_margin_diff_8,0.07059758815810334,0.07059758815810334
losing_streak_diff,0.055147677276005946,0.055147677276005946
form_points_for_diff_3,0.0512342123879597,0.0512342123879597
wind_speed_kph,-0.05048775627098927,0.05048775627098927
form_points_against_diff_5,-0.0453682006823808,0.0453682006823808
form_points_for_diff_8,-0.03296191982885136,0.03296191982885136
away_rest_days,-0.029348296835015678,0.029348296835015678
form_margin_diff_5,-0.028553724136918635,0.028553724136918635
form_margin_diff_3,0.024390492013476817,0.024390492013476817
temperature_c,-0.02255632754537551,0.02255632754537551
temperature_category_mild,-0.020231702314396485,0.020231702314396485
games_since_win_diff,0.018611293029614697,0.018611293029614697
is_rainy,-0.017836169953367634,0.017836169953367634
temperature_category_warm,0.010779759660265177,0.010779759660265177
winning_streak_diff,0.010151203764754809,0.010151203764754809
games_since_loss_diff,0.00947433196521375,0.00947433196521375
form_points_against_diff_3,0.009091282291151198,0.009091282291151198
home_rest_days,-0.008107141708309517,0.008107141708309517
precipitation_mm,0.00668134349383066,0.00668134349383066
form_win_rate_diff_3,0.004799152726761641,0.004799152726761641
away_travel_distance_km,-0.002713120296032334,0.002713120296032334
elo_diff,0.0008924221271714746,0.0008924221271714746
